disease_state,donor,sample_id,fraction,compartment_call,cells,median_genes,median_umis,median_percent_mt,median_percent_ribo,median_percent_hb,median_log10_genes_per_umi
healthy,healthy3,healthy3_cd45-B,CD45_negative,mesenchymal_HSC_myofibroblast,571,1863,5354,5.09765625,22.42069602710194,0,0.8761261868205157
healthy,healthy3,healthy3_cd45-B,CD45_negative,other_or_unresolved,178,1468,4545.5,2.9288742076670644,25.780605266538693,0,0.8628958264400055
healthy,healthy4,healthy4_cd45+,CD45_positive,endothelial,107,1716,4561,3.561853695901953,25.66137566137566,0,0.879824295681617
healthy,healthy4,healthy4_cd45+,CD45_positive,macrophage_monocyte,1820,1322,4068,3.4968829061562605,31.21631583779587,0,0.8652972299245913
healthy,healthy4,healthy4_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,21,1741,5605,6.948680546346639,20.45060658578856,0,0.864590046050662
healthy,healthy4,healthy4_cd45+,CD45_positive,other_or_unresolved,2972,1193,3773.5,3.5392904163169305,34.78548923347758,0,0.8621063065302477
healthy,healthy4,healthy4_cd45-,CD45_negative,endothelial,394,2453,6737,2.900359816581525,20.871186086917938,0,0.883458394661535
healthy,healthy4,healthy4_cd45-,CD45_negative,macrophage_monocyte,2761,1875,6238,3.7978863936591813,24.12280701754386,0,0.8628722581383795
healthy,healthy4,healthy4_cd45-,CD45_negative,mesenchymal_HSC_myofibroblast,3,2382,7436,6.861958266452649,21.997019374068554,0,0.8723268010575973
healthy,healthy4,healthy4_cd45-,CD45_negative,other_or_unresolved,137,1405,3787,3.3187370361834523,30.689655172413794,0,0.877710495596568
healthy,healthy5,healthy5_cd45+,CD45_positive,endothelial,105,770,1777,2.3661270236612704,29.328859060402685,0,0.8908153432667931
healthy,healthy5,healthy5_cd45+,CD45_positive,macrophage_monocyte,2619,995,2577,2.606741573033708,28.071856287425152,0,0.8767415274418906
healthy,healthy5,healthy5_cd45+,CD45_positive,mesenchymal_HSC_myofibroblast,7,1318,3179,2.2334067316766277,20.035211267605636,0,0.8874642388245989
healthy,healthy5,healthy5_cd45+,CD45_positive,other_or_unresolved,2369,836,2005,2.1149425287356323,34.52211126961483,0,0.8823478411463921
