gene,cirrhotic_endothelial,cirrhotic_macrophage-monocyte,cirrhotic_mesenchymal-HSC-myofibroblast,cirrhotic_other-or-unresolved,healthy_endothelial,healthy_macrophage-monocyte,healthy_mesenchymal-HSC-myofibroblast,healthy_other-or-unresolved
PLAGL1,0.04511767315531472,0.12716016365303978,0.26339538430148696,0.04455405875260718,0.06978401994623053,0.11646675611556681,0.18918687228620523,0.03388280798826187
SF3B5,1.360340305890387,1.7685348467445603,1.4969398292211344,1.5437937639076693,1.412033588351466,1.596993820732174,1.2713157481233461,1.6286041480670603
STX11,0.059199807122597786,0.42318060505121474,0.03406872123004207,0.19290190563215254,0.1869912648966318,0.5966743451261254,0.12480169537152151,0.2960494726324283
UTRN,1.1420275907390467,0.6685298823579666,0.4710834765699608,0.5321828840709886,1.6815837390477246,0.8214516104966044,1.1492436179197572,0.6959244929505697
RP1-91J24.3,6.983369045115694e-4,9.187671143908668e-4,0,5.512432266506341e-4,0,2.2095987355438663e-4,0.003451948020566707,0.0038712941588672305
EPM2A,0.01911443851552414,0.011754547663247848,0.007556051415831657,0.009667286962720628,0.018509952219872578,0.013769677778774907,0.034262029273850476,0.01167562939597307
FBXO30,0.05630815228010581,0.0543865008447991,0.060858287003674474,0.031784519546268854,0.09886066902865248,0.07312523618958512,0.1318496212047925,0.043757803388603946
RP11-545I5.3,0.011344863035938723,0.01445079756912242,0.006668207190968387,0.011699879531328746,0.017603833614082524,0.01716326540086403,0.021533021708918555,0.010393120039671966
SHPRH,0.2568922828315771,0.22995758401596625,0.2717480823099906,0.25513920702400095,0.3440362006433511,0.1910511825280573,0.35941223901698965,0.20966925514263077
RAB32,0.35207496316956616,0.6922300327980757,0.33481987510753375,0.04986175876225265,0.2552938859099078,0.7599911154642763,0.23298866490469938,0.09036331789365223
STXBP5-AS1,0.024467635671018704,0.006212382436106295,0.018273526557817353,0.003221329143725993,0.025254679894706755,0.006398621579206659,0.009454617183306745,0.010826928395142953
LUADT1,0.0032575081149808444,0.00396411158720491,0.002264029796443345,0.006182720134078066,0.014630677775557903,0.008767230584125294,0.024252978953272466,0.010143755182499353
STXBP5,0.05112510503493183,0.04935128573194539,0.0458891556526559,0.03155465601949487,0.0745836279973462,0.06830672183527492,0.0404274563087639,0.05511892674407103
SAMD5,0.023623264737989428,0.003384182902991005,0.04114375412276014,0.004371046435247177,0.025495929629414077,0.004762619475905676,0.032462281255582225,0.004695045998686939
SASH1,0.5398777146842574,0.10738691548864492,0.17004993168374843,0.004572386862349262,0.6311618152193132,0.1562322249379273,0.0983897234957561,0.010346431497500386
UST,0.0027485123753615234,0.01590948063006237,0.03226362837937818,0.01557145576462038,0.010888649293395043,0.028973117458577606,0.009528957193525452,0.02818710421412127
TAB2,0.13360210548523743,0.1832204834237189,0.0859427595456512,0.1384990753108044,0.22585900639163595,0.22803778970371213,0.13746846199461024,0.1706711563675838
SUMO4,0.012648453401363623,0.021087146004670824,0.010144681201962262,0.021004950437119457,0.04660937766910678,0.03356065062239514,0.03843368702499042,0.030753775887536337
ZC3H12D,0.015065065835188317,0.03577580261573857,0.009306943511891206,0.07112055344349413,0.024669016105411518,0.04714436662226999,0.02566052763813959,0.05748443724877839
PPIL4,0.38499260104941924,0.3395248791686049,0.448168356640374,0.36710434883057375,0.6217719091807645,0.3280703108131661,0.5276854094973334,0.2876569247320686
GINM1,0.6744976142181579,0.3360674975904771,0.6026923371936466,0.2187449859194827,1.0427455928630849,0.336148613328251,0.6620014974265696,0.24724154148364838
RP1-12G14.7,0.0017060098819759214,0.0028244392440681353,0.0026830655633901072,0.0019703250390025536,0.0014525435885266438,0.0035626695390754692,0.004224343101805068,0.002896652069313283
KATNA1,0.167114959124161,0.16315919337339133,0.13901853721141108,0.1939890447475278,0.19818214837876988,0.1658649105176501,0.173482537852963,0.17354268673594492
LATS1,0.12619830618188166,0.10151670060782886,0.06798799076567663,0.08626058399154247,0.154499512998032,0.12476259535709709,0.10872822146751576,0.14231384749793544
AL358852.1,0.015704379579196816,0.008961456562060828,0.0073602199287854785,0.003088554320541952,0.021199369719336357,0.007128724205768108,0.01467819135944284,0.010520880147970944
NUP43,0.08363349606083452,0.09373187110338815,0.08105904084935243,0.09713193222341604,0.1269732567464866,0.10165464948199406,0.12835351235254652,0.1115780118415807
PCMT1,0.6900674849904461,0.7692078267428566,0.6606196672621885,0.7811781204936327,0.7751223817202252,0.7102167533155016,0.7731816829738054,0.7185426736571636
RP11-350J20.5,0.09162495114104437,0.008115757384654993,0.02067760513939114,0.010647173644661185,0.07193374442445545,0.013064298011057638,0.029064269805943847,0.023700545904783935
LRP11,0.03860076008172826,0.01946348604375611,0.06440580056431737,0.004774927648447705,0.041336546940885406,0.01387764106803035,0.07294126984072775,0.00397428736276879
RAET1E-AS1,6.182987512042382e-4,7.557193067536717e-4,0.005583567447476343,0,0,0,0,0
RAET1E,0.013097836588315715,0.0014709223597104356,0.022303291806210053,0.0012301403710976676,0.00373223757412661,1.9277365774030502e-4,0,1.0545000420218268e-4
RAET1G,0.012380055649023376,9.631976235459774e-4,0.014097033037886762,0,0.01124008896893085,8.24815694241886e-4,3.051588973058834e-4,0
ULBP2,0.09315089310138877,0.005415497504918564,0.007641575535829131,0.01715655805794018,0.09682268265659183,0.012182765228203043,0.007807088846391552,0.019115548438306724
ULBP1,0.011614425042815412,0.0021019605890275155,0.0010973871869511007,5.138808492055572e-4,0.020822996677798092,0.0029189195881292734,0.005078795456344521,0.0038396214877657008
