gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,compartment,contrast
ITGA10,1.0379815926626294e-32,1.1071827800533498,0.229,0.129,2.391820983972497e-28,endothelial,cirrhotic_vs_healthy_cell_level
ZNF521,1.2028274977553352e-32,1.2123413368658413,0.17,0.081,2.771675403077619e-28,endothelial,cirrhotic_vs_healthy_cell_level
ZNF451,1.204798131473091e-32,-1.3010484212931703,0.126,0.215,2.776216334353444e-28,endothelial,cirrhotic_vs_healthy_cell_level
RPS11,1.268550062961248e-32,0.16087860225263428,0.985,0.954,2.9231199100816037e-28,endothelial,cirrhotic_vs_healthy_cell_level
ANGPT2,1.60716508653313e-32,1.0674352316764737,0.238,0.136,3.7033905088982913e-28,endothelial,cirrhotic_vs_healthy_cell_level
BTF3,1.750359794179551e-32,0.23376956634570334,0.938,0.866,4.0333540737279392e-28,endothelial,cirrhotic_vs_healthy_cell_level
CLEC3B,2.1474533955863606e-32,1.152435116721409,0.208,0.112,4.948376859449651e-28,endothelial,cirrhotic_vs_healthy_cell_level
CSNK1A1,2.3014911987274578e-32,-0.5391002534571436,0.557,0.623,5.3033261692276806e-28,endothelial,cirrhotic_vs_healthy_cell_level
TM4SF18,2.6745516360440767e-32,0.4863204483862035,0.548,0.424,6.1629693349363655e-28,endothelial,cirrhotic_vs_healthy_cell_level
HSD17B14,2.7523089483722075e-32,-1.420183859335059,0.052,0.121,6.3421455097340775e-28,endothelial,cirrhotic_vs_healthy_cell_level
SNRPB,3.132759604802712e-32,0.34281141624277534,0.585,0.45,7.218817957346889e-28,endothelial,cirrhotic_vs_healthy_cell_level
PRKCA,3.4383727288747244e-32,-1.6674503876133762,0.059,0.13,7.923042279146028e-28,endothelial,cirrhotic_vs_healthy_cell_level
CHMP4B,3.674741822070325e-32,0.49059990813973886,0.44,0.31,8.46770758059665e-28,endothelial,cirrhotic_vs_healthy_cell_level
ID3,4.160047449338179e-32,0.32663286877003417,0.865,0.767,9.585997337509966e-28,endothelial,cirrhotic_vs_healthy_cell_level
COL18A1,4.4369464070223855e-32,0.6656122890840085,0.354,0.236,1.0224055605701683e-27,endothelial,cirrhotic_vs_healthy_cell_level
GNG5,4.7080775691304547e-32,0.31786790291810285,0.73,0.6,1.0848823142547307e-27,endothelial,cirrhotic_vs_healthy_cell_level
HLX,5.058035242275977e-32,-0.9279550893515763,0.205,0.304,1.1655230608776534e-27,endothelial,cirrhotic_vs_healthy_cell_level
EFNA1,6.428126930304394e-32,0.5300659492961384,0.515,0.393,1.4812332885500415e-27,endothelial,cirrhotic_vs_healthy_cell_level
SYNE2,6.802900029053149e-32,-0.7496140038592755,0.375,0.461,1.567592253694717e-27,endothelial,cirrhotic_vs_healthy_cell_level
SNX8,8.836409405130553e-32,-1.573714253140696,0.05,0.116,2.0361738192242334e-27,endothelial,cirrhotic_vs_healthy_cell_level
THBS1,9.39361198553656e-32,0.7055902077187919,0.149,0.065,2.1645700098271895e-27,endothelial,cirrhotic_vs_healthy_cell_level
SVIL,1.1495334393060842e-31,1.0200715808383363,0.17,0.081,2.64886990419301e-27,endothelial,cirrhotic_vs_healthy_cell_level
MRPL41,1.2465053122924502e-31,0.41078407987703414,0.473,0.339,2.872322191115493e-27,endothelial,cirrhotic_vs_healthy_cell_level
EIF3F,1.3515742940960688e-31,0.28595129758174354,0.7,0.574,3.1144326458855714e-27,endothelial,cirrhotic_vs_healthy_cell_level
FAM133B,1.4449312291506752e-31,-0.7710393229662612,0.388,0.478,3.329555031331901e-27,endothelial,cirrhotic_vs_healthy_cell_level
NR5A2,1.4551357529407431e-31,-1.5541469232880127,0.073,0.146,3.353069315501355e-27,endothelial,cirrhotic_vs_healthy_cell_level
RARRES2,1.4561455458774647e-31,1.3070863799582926,0.138,0.057,3.3553961813654416e-27,endothelial,cirrhotic_vs_healthy_cell_level
EVA1B,1.8542039687090344e-31,0.8290100374400617,0.278,0.171,4.2726422050962276e-27,endothelial,cirrhotic_vs_healthy_cell_level
ENTPD1,1.9944891364712206e-31,0.5131396345402831,0.334,0.211,4.595901317170633e-27,endothelial,cirrhotic_vs_healthy_cell_level
PDIA6,1.9993012358907035e-31,-0.5747860976359472,0.548,0.608,4.6069898378629484e-27,endothelial,cirrhotic_vs_healthy_cell_level
NDUFC1,2.036201920179782e-31,0.405674935969751,0.602,0.472,4.6920200846702716e-27,endothelial,cirrhotic_vs_healthy_cell_level
ATF4,3.848372051832179e-31,0.33775003454923347,0.624,0.494,8.86780371903689e-27,endothelial,cirrhotic_vs_healthy_cell_level
PROCR,4.059416539130922e-31,0.921668273450297,0.281,0.173,9.354113531119384e-27,endothelial,cirrhotic_vs_healthy_cell_level
COX5A,4.625605928391297e-31,0.3469173270681931,0.581,0.448,1.0658783740792067e-26,endothelial,cirrhotic_vs_healthy_cell_level
RAB7A,5.230171682240014e-31,-0.5657193657687996,0.496,0.564,1.2051884607385665e-26,endothelial,cirrhotic_vs_healthy_cell_level
SVIP,5.395991159571031e-31,0.4552072209761664,0.374,0.249,1.2433982428999527e-26,endothelial,cirrhotic_vs_healthy_cell_level
MAPK3,5.420517377626256e-31,0.615846834132672,0.381,0.26,1.2490498193264181e-26,endothelial,cirrhotic_vs_healthy_cell_level
CLTA,6.744676131036406e-31,-0.5302315344926181,0.655,0.674,1.554175720874719e-26,endothelial,cirrhotic_vs_healthy_cell_level
TM4SF1,7.157945528531289e-31,-0.5554241562131983,0.843,0.814,1.649405388139465e-26,endothelial,cirrhotic_vs_healthy_cell_level
ATP5D,7.357432364676403e-31,0.26773379205749315,0.726,0.604,1.6953731397923835e-26,endothelial,cirrhotic_vs_healthy_cell_level
IGLC7,1.1347765198069252e-30,1.8383121856900357,0.115,0.045,2.6148655345910975e-26,endothelial,cirrhotic_vs_healthy_cell_level
QTRT1,1.2197665447000338e-30,0.7962211035323572,0.227,0.128,2.8107080489522876e-26,endothelial,cirrhotic_vs_healthy_cell_level
ST3GAL6,1.2622858385478987e-30,-1.2148376055090817,0.086,0.164,2.908685257765923e-26,endothelial,cirrhotic_vs_healthy_cell_level
CRISPLD1,1.3349681233862626e-30,-1.3085118152608526,0.056,0.125,3.076167046718965e-26,endothelial,cirrhotic_vs_healthy_cell_level
RGL1,1.3373772951402678e-30,-1.300389556532904,0.072,0.145,3.081718501191719e-26,endothelial,cirrhotic_vs_healthy_cell_level
FAM107B,1.4849394437746366e-30,-1.0435680765950408,0.161,0.253,3.421745960289895e-26,endothelial,cirrhotic_vs_healthy_cell_level
BANF1,1.5180825128699417e-30,0.40260907185964145,0.593,0.465,3.498117534406207e-26,endothelial,cirrhotic_vs_healthy_cell_level
EMP3,1.8395219444966517e-30,-0.7728452655728684,0.418,0.509,4.2388104167036344e-26,endothelial,cirrhotic_vs_healthy_cell_level
A1BG,2.1817194532948277e-30,0.6958155413503544,0.114,0.042,5.0273361362272714e-26,endothelial,cirrhotic_vs_healthy_cell_level
